"","X","tss","roc"
"1",1,"0.885790909090909",0.98660303030303
"2",43,"L",4
"3",3,"-11.486",62.096
"4",4,"-17.254",78.214
"5",5,"-7.152",62.03
"6",6,"-16.513",80.982
"7",7,"-11.997",80.092
"8",8,"-11.305",134.641
"9",9,"-6.328",25.527
"10",10,"-7.284",47.38
"11",11,"-7.334",65.425
"12",12,"-9.74",76.681
"13",13,"-18.457",17.666
"14",14,"-10.86",77.999
"15",15,"-15.03",25.264
"16",16,"-14.964",76.549
"17",17,"-7.301",61.009
"18",18,"-8.042",80.241
"19",19,"-8.949",65.837
"20",20,"-11.239",140.475
