"","X","tss","roc"
"1",1,"0.863265217391304",0.97445
"2",32,"LQ",3
"3",3,"-5.144",65.348
"4",4,"-12.097",74.11
"5",5,"-4.918",69.474
"6",6,"-16.111",74.958
"7",7,"-12.776",96.891
"8",8,"-6.557",160.599
"9",9,"-4.353",36.687
"10",10,"-5.483",41.775
"11",11,"-5.766",50.594
"12",12,"-4.692",85.698
"13",13,"-15.772",18.824
"14",14,"-8.536",60.995
"15",15,"-13.341",30.921
"16",16,"-10.288",90.39
"17",17,"-6.275",55.568
"18",18,"-5.709",81.572
"19",19,"-7.066",70.548
"20",20,"-8.027",145.054
