"","X","tss","roc"
"1",1,"0.9807",0.99543125
"2",47,"LQHP",4
"3",3,"-27.492",-10.033
"4",4,"-59.599",-49.365
"5",5,"-12.441",21.07
"6",6,"-26.154",-17.793
"7",7,"-36.187",-25.753
"8",8,"-48.763",-34.114
"9",9,"-21.94",-18.796
"10",10,"-39.732",-36.187
"11",11,"-42.676",-38.127
"12",12,"-55.585",-47.625
"13",13,"-27.157",-14.783
"14",14,"-39.064",-26.957
"15",15,"-37.525",-29.298
"16",16,"-52.977",-41.806
"17",17,"-46.555",-44.348
"18",18,"-57.926",-47.425
"19",19,"-48.896",-38.997
"20",20,"-69.699",-60.87
