"","X","tss","roc"
"1",1,"0.832571428571429",0.950246428571429
"2",35,"LQHP",3
"3",3,"-54.083",-52.121
"4",4,"-78.537",-77.847
"5",5,"-36.511",-35.461
"6",6,"-40.095",-37.529
"7",7,"-44.316",-41.421
"8",8,"-63.415",-62.566
"9",9,"-36.797",-36.32
"10",10,"-43.34",-42.206
"11",11,"-52.025",-51.771
"12",12,"-65.758",-65.695
"13",13,"-37.338",-35.186
"14",14,"-62.863",-61.379
"15",15,"-57.826",-56.575
"16",16,"-82.641",-82.46
"17",17,"-41.177",-40.308
"18",18,"-58.706",-58.303
"19",19,"-60.764",-60.276
"20",20,"-80.424",-80.201
