"","X","tss","roc"
"1",1,"0.91975",0.992440104166667
"2",30,"LQHPT",2.5
"3",3,"-38.009",-11.407
"4",4,"-64.675",-37.451
"5",5,"-15.866",3.42
"6",6,"-25.509",17.662
"7",7,"-38.355",1.153
"8",8,"-33.133",24.259
"9",9,"-15.373",-1.991
"10",10,"-20.471",0.725
"11",11,"-21.64",-0.352
"12",12,"-31.407",1.629
"13",13,"-24.004",-4.751
"14",14,"-44.199",-11.261
"15",15,"-44.756",-23.214
"16",16,"-61.001",-30.92
"17",17,"-18.734",4.583
"18",18,"-32.332",2.825
"19",19,"-30.244",10.152
"20",20,"-55.557",1.19
