"","X","tss","roc"
"1",1,"0.9732",0.994973913043478
"2",26,"LQ",2.5
"3",3,"-68.481",66.772
"4",4,"-85.213",59.713
"5",5,"-68.231",-52.497
"6",6,"-82.834",-32.913
"7",7,"-77.865",11.08
"8",8,"-92.153",-25.907
"9",9,"-30.981",-12.71
"10",10,"-44.479",-13.722
"11",11,"-48.081",-13.617
"12",12,"-65.865",-8.912
"13",13,"-47.989",22.831
"14",14,"-78.483",25.749
"15",15,"-62.513",35.029
"16",16,"-86.448",30.389
"17",17,"-63.841",-13.381
"18",18,"-74.961",33.636
"19",19,"-78.838",16.601
"20",20,"-88.88",61.527
