"","X","tss","roc"
"1",1,"0.821166666666667",0.950805
"2",14,"LQ",1.5
"3",3,"-15.191",37.83
"4",4,"-17.175",51.682
"5",5,"-12.456",1.686
"6",6,"-11.439",21.308
"7",7,"-18.464",14.117
"8",8,"-16.803",31.879
"9",9,"-4.686",16.745
"10",10,"-3.744",27.358
"11",11,"-4.265",29.953
"12",12,"-11.174",45.177
"13",13,"-15.381",-3.728
"14",141,"-15.547",28.06
"15",15,"-12.365",6.579
"16",16,"-12.423",38.416
"17",17,"-6.017",28.655
"18",18,"-14.96",38.094
"19",19,"-10.753",40.681
"20",20,"-19.39",60.989
