"","X","tss","roc"
"1",1,"0.8293",0.938764
"2",28,"LQH",2.5
"3",3,"-19.804",3.557
"4",4,"-25.537",4.169
"5",5,"-14.392",4.626
"6",6,"-16.22",5.387
"7",7,"-17.752",6.999
"8",8,"-22.976",9.54
"9",9,"-13.328",3.726
"10",10,"-16.666",3.676
"11",11,"-19.636",0.798
"12",12,"-25.886",-1.377
"13",13,"-15.567",11.135
"14",14,"-23.629",10.912
"15",15,"-20.22",11.11
"16",16,"-26.234",4.279
"17",17,"-20.788",-1.958
"18",18,"-21.666",3.134
"19",19,"-22.728",4.247
"20",20,"-29.604",1.528
