"","X","tss","roc"
"1",1,"0.860080952380952",0.961992857142857
"2",44,"LQ",4
"3",3,"-5.345",75.903
"4",4,"-8.483",107.669
"5",5,"-0.683",22.035
"6",6,"-2.206",52.331
"7",7,"-2.863",55.772
"8",8,"-5.594",73.933
"9",9,"-1.681",29.14
"10",10,"-3.401",46.763
"11",11,"-2.718",45.607
"12",12,"-6.238",74.445
"13",13,"-3.23",33.959
"14",14,"-7.722",72.41
"15",15,"-3.007",52.147
"16",16,"-6.619",96.573
"17",17,"-2.561",51.097
"18",18,"-5.016",70.085
"19",19,"-5.266",66.96
"20",20,"-8.05",121.248
