"","X","tss","roc"
"1",1,"0.796266666666667",0.950368333333333
"2",28,"LQH",2.5
"3",3,"-17.932",56.878
"4",4,"-25.242",75.399
"5",5,"-4.344",39.144
"6",6,"-9.645",50.733
"7",7,"-12.061",46.454
"8",8,"-17.291",82.424
"9",9,"-6.308",30.517
"10",10,"-11.003",39.841
"11",11,"-9.965",32.999
"12",12,"-15.932",60.734
"13",13,"-13.699",19.351
"14",14,"-21.579",48.235
"15",15,"-17.499",35.95
"16",16,"-33.732",58.226
"17",17,"-9.172",37.425
"18",18,"-16.253",43.616
"19",19,"-16.772",45.829
"20",20,"-27.47",86.942
