"","X","tss","roc"
"1",1,"0.9477",0.994286475409836
"2",48,"LQHPT",4
"3",3,"-51.99",-23.066
"4",4,"-79.284",-47.602
"5",5,"-34.982",-14.394
"6",6,"-48.082",-10.286
"7",7,"-56.466",-22.834
"8",8,"-65.457",-1.503
"9",9,"-28.157",-16.56
"10",10,"-34.183",-16.52
"11",11,"-34.942",-14.834
"12",12,"-45.756",-10.75
"13",13,"-35.366",-16.832
"14",14,"-67.423",-47.562
"15",15,"-62.948",-46.036
"16",16,"-82.001",-58.4
"17",17,"-36.749",-12.42
"18",18,"-50.751",-9.543
"19",19,"-52.621",-16.145
"20",20,"-79.811",14.426
