"","X","tss","roc"
"1",1,"0.751092452830189",0.949792452830189
"2",28,"LQH",2.5
"3",3,"-33.066",-5.241
"4",4,"-46.794",-24.492
"5",5,"-13.28",0.58
"6",6,"-16.966",10.682
"7",7,"-29.709",-8.433
"8",8,"-33.457",-4.094
"9",9,"-8.184",5.918
"10",10,"-10.884",12.722
"11",11,"-16.076",2.362
"12",12,"-21.633",3.495
"13",13,"-23.48",-3.566
"14",14,"-43.365",-25.578
"15",15,"-35.454",-17.45
"16",16,"-48.433",-28.041
"17",17,"-17.818",0.688
"18",18,"-32.726",-10.853
"19",19,"-31.076",-8.792
"20",20,"-48.305",-26.861
