"","X","tss","roc"
"1",1,"0.811885714285714",0.962051428571429
"2",24,"LQHPT",2
"3",3,"-16.333",25.943
"4",4,"-22.918",28.402
"5",5,"-7.714",17.029
"6",6,"-12.549",19.396
"7",7,"-16.946",8.942
"8",8,"-21.665",15.823
"9",9,"-9.569",6.787
"10",10,"-14.074",9.185
"11",11,"-16.066",6.284
"12",12,"-21.718",14.487
"13",13,"-16.917",20.645
"14",14,"-10.928",37.742
"15",15,"-16.259",22.763
"16",16,"-23.699",35.35
"17",17,"-13.672",23.288
"18",18,"-15.428",31.494
"19",19,"-18.853",26.378
"20",20,"-21.898",44.005
