"","X","tss","roc"
"1",1,"0.9985",0.999628571428571
"2",37,"L",3.5
"3",3,"-72.973",-43.919
"4",4,"-39.189",218.919
"5",5,"-25.676",255.405
"6",6,"-11.486",171.622
"7",7,"-45.946",82.432
"8",8,"-33.108",68.243
"9",9,"-67.568",-14.189
"10",10,"-69.595",58.784
"11",11,"-57.432",153.378
"12",12,"-58.108",125
"13",13,"-48.649",69.595
"14",14,"-39.865",52.027
"15",15,"-29.73",192.568
"16",16,"-64.865",78.378
"17",17,"-26.351",104.054
"18",18,"-33.108",129.73
"19",19,"-46.622",95.27
"20",20,"-35.135",162.838
