"","X","tss","roc"
"1",1,"0.665808695652174",0.8919
"2",20,"LQ",2
"3",3,"-10.138",69.107
"4",4,"-9.899",107.444
"5",5,"-7.786",15.869
"6",6,"-7.189",36.967
"7",7,"-9.063",46.789
"8",8,"-11.342",80.512
"9",9,"-3.654",30.322
"10",10,"-4.689",48.831
"11",11,"-5.474",60.121
"12",12,"-8.051",93.357
"13",13,"-12.265",33.273
"14",14,"-9.215",78.837
"15",15,"-9.51",62.019
"16",16,"-13.967",100.839
"17",17,"-8.566",54.188
"18",18,"-7.908",84.376
"19",19,"-8.758",86.449
"20",201,"-10.653",139.947
