"","X","tss","roc"
"1",1,"0.817025806451613",0.946145161290323
"2",35,"LQHP",3
"3",3,"-10.347",66.102
"4",4,"-12.423",81.985
"5",5,"-8.505",22.025
"6",6,"-8.78",36.31
"7",7,"-9.791",38.887
"8",8,"-10.477",65.277
"9",9,"-2.459",25.787
"10",10,"-4.315",51.2
"11",11,"-6.052",43.822
"12",12,"-7.984",66.597
"13",13,"-8.204",42.826
"14",14,"-12.495",69.47
"15",15,"-9.678",62.792
"16",16,"-9.542",125.651
"17",17,"-7.384",39.354
"18",18,"-10.992",65.702
"19",19,"-8.528",61.483
"20",20,"-11.78",110.995
