"","X","tss","roc"
"1",1,"0.9154",0.9887296875
"2",22,"LQH",2
"3",3,"-57.522",-16.916
"4",4,"-71.101",-12.839
"5",5,"-22.951",-9.27
"6",6,"-38.778",-13.608
"7",7,"-49.151",-19.077
"8",8,"-56.216",-18.744
"9",9,"-20.194",4.947
"10",10,"-30.843",0.131
"11",11,"-33.657",-2.046
"12",12,"-51.951",-3.003
"13",13,"-46.061",-26.911
"14",14,"-66.314",-34.978
"15",15,"-58.349",-32.613
"16",16,"-74.133",-39.896
"17",17,"-29.131",2.133
"18",18,"-54.766",-14.29
"19",19,"-52.546",-14.072
"20",20,"-79.443",-23.255
