"","X","tss","roc"
"1",1,"0.7609",0.9249
"2",35,"LQHP",3
"3",3,"-20.127",15.87
"4",4,"-31.298",7.096
"5",5,"-12.412",-6.16
"6",6,"-17.238",-3.599
"7",7,"-20.68",-1.493
"8",8,"-27.3",-3.438
"9",9,"-5.918",7.482
"10",10,"-8.359",19.818
"11",11,"-11.572",15.089
"12",12,"-17.506",14.64
"13",13,"-11.219",18.898
"14",14,"-22.683",14.154
"15",15,"-17.587",20.433
"16",16,"-25.69",19.178
"17",17,"-10.75",14.25
"18",18,"-18.277",19.428
"19",19,"-17.503",16.383
"20",20,"-29.276",17.255
