"","X","tss","roc"
"1",1,"0.865276923076923",0.969876923076923
"2",27,"H",2.5
"3",3,"-32.268",-3.938
"4",4,"-50.594",-20.194
"5",5,"-15.511",2.56
"6",6,"-23.792",-3.223
"7",7,"-27.096",-7.375
"8",8,"-44.239",-23.158
"9",9,"-14.704",-8.719
"10",10,"-24.807",-14.404
"11",11,"-26.554",-17.362
"12",12,"-40.849",-27.379
"13",13,"-17.53",15.61
"14",14,"-35.238",-6.804
"15",15,"-28.745",0.467
"16",16,"-45.3",-10.823
"17",17,"-23.665",-7.733
"18",18,"-36.87",-21.508
"19",19,"-38.877",-22.702
"20",20,"-56.873",-35.982
