"","X","tss","roc"
"1",1,"0.834533333333333",0.958353333333333
"2",28,"LQH",2.5
"3",3,"-35.412",11.693
"4",4,"-49.048",10.719
"5",5,"-19.319",-2.675
"6",6,"-24.353",2.059
"7",7,"-28.879",3.868
"8",8,"-37.663",10.419
"9",9,"-11.967",8.762
"10",10,"-16.991",22.415
"11",11,"-20.904",13.582
"12",12,"-28.591",20.556
"13",13,"-21.55",18.456
"14",14,"-40.622",4.709
"15",15,"-32.313",21.927
"16",16,"-48.07",24.247
"17",17,"-22.605",8.629
"18",18,"-33.593",15.293
"19",19,"-33.169",10.589
"20",20,"-49.625",14.558
