"","X","tss","roc"
"1",1,"0.8141",0.930892142857143
"2",21,"H",2
"3",3,"-9.493",38.947
"4",4,"-11.223",53.065
"5",5,"-1.166",29.319
"6",6,"-3.818",39.953
"7",7,"-3.056",42.797
"8",8,"-3.92",66.447
"9",9,"-0.685",18.679
"10",10,"-5.157",20.486
"11",11,"-4.516",23.253
"12",12,"-3.427",49.779
"13",13,"-15.662",4.606
"14",14,"-27.583",3.549
"15",15,"-21.498",6.028
"16",16,"-24.098",32.567
"17",17,"-1.223",38.364
"18",18,"-7.661",40.305
"19",19,"-5.349",48.998
"20",20,"-9.109",60.067
