"","X","tss","roc"
"1",1,"0.784161971830986",0.939014084507042
"2",29,"LQHP",2.5
"3",3,"-9.402",66.922
"4",4,"-7.761",98.009
"5",5,"-2.174",64.595
"6",6,"-9.949",60.277
"7",7,"-13.224",49.65
"8",8,"-8.322",121.189
"9",9,"-2.75",24.785
"10",10,"-3.778",32.546
"11",11,"-1.904",39.796
"12",12,"-1.335",82.961
"13",13,"-18.417",9.767
"14",14,"-18.373",23.647
"15",15,"-19.519",26.616
"16",16,"-24.369",55.543
"17",17,"-3.37",59.468
"18",18,"-6.142",70.919
"19",19,"-5.332",87.33
"20",20,"-12.334",106.732
