"","X","tss","roc"
"1",1,"0.737094871794872",0.932758974358974
"2",8,"LQ",1
"3",3,"-16.325",31.906
"4",4,"-27.074",34.929
"5",5,"-11.448",17.642
"6",6,"-17.266",23.523
"7",7,"-19.115",19.452
"8",81,"-24.559",43.501
"9",9,"-10.02",12.321
"10",10,"-17.007",14.207
"11",11,"-17.433",8.629
"12",12,"-23.084",28.408
"13",13,"-19.397",-1.535
"14",14,"-25.437",12.894
"15",15,"-23.492",10.075
"16",16,"-31.164",29.286
"17",17,"-12.394",22.381
"18",18,"-19.658",25.461
"19",19,"-19.282",29.692
"20",20,"-32.092",40.841
