"","X","tss","roc"
"1",1,"0.716242857142857",0.917544047619048
"2",14,"LQ",1.5
"3",3,"-9.098",35.805
"4",4,"-11.303",36.17
"5",5,"-5.75",10.758
"6",6,"-8.514",18.7
"7",7,"-10.201",21.126
"8",8,"-13.46",38.499
"9",9,"-4.071",17.443
"10",10,"-5.679",33.899
"11",11,"-7.473",26.296
"12",12,"-9.619",43.005
"13",13,"-5.954",25.354
"14",141,"-10.861",23.795
"15",15,"-6.73",27.173
"16",16,"-11.119",44.987
"17",17,"-4.228",34.363
"18",18,"-8.266",40.163
"19",19,"-7.637",37.231
"20",20,"-11.287",51.323
