"","X","tss","roc"
"1",1,"0.46414347826087",0.771632608695652
"2",32,"LQ",3
"3",3,"-6.707",49.719
"4",4,"-7.931",64.668
"5",5,"-8.329",4.747
"6",6,"-3.32",24.92
"7",7,"-2.718",30.418
"8",8,"-5.285",41.373
"9",9,"-2.778",13.051
"10",10,"-4.454",24.353
"11",11,"-3.369",23.061
"12",12,"-4.551",34.954
"13",13,"-4.643",33.716
"14",14,"-5.454",72.56
"15",15,"-4.571",45.614
"16",16,"-3.501",93.801
"17",17,"-3.435",25.06
"18",18,"-3.131",57.397
"19",19,"-3.483",51.787
"20",20,"-2.984",96.251
