"","X","tss","roc"
"1",1,"0.803568965517241",0.954196551724138
"2",8,"LQ",1
"3",3,"-32.219",-2.136
"4",4,"-47.122",-9.687
"5",5,"-30.625",-18.415
"6",6,"-34.324",-14.454
"7",7,"-39.523",-21.634
"8",81,"-43.593",-20.706
"9",9,"-16.775",-8.124
"10",10,"-28.273",-18.121
"11",11,"-24.683",-11.777
"12",12,"-43.036",-30.594
"13",13,"-22.454",-4.937
"14",14,"-37.326",-12.906
"15",15,"-33.55",-13.185
"16",16,"-51.811",-24.605
"17",17,"-24.11",-10.415
"18",18,"-34.417",-8.465
"19",19,"-35.067",-5.741
"20",20,"-48.901",-8.496
