"","X","tss","roc"
"1",1,"0.834842857142857",0.963564285714286
"2",20,"LQ",2
"3",3,"-59.897",-48.446
"4",4,"-75.909",-58.733
"5",5,"-39.032",-11.94
"6",6,"-39.336",2.803
"7",7,"-60.042",-23.43
"8",8,"-59.844",15.496
"9",9,"-25.321",-18.472
"10",10,"-35.846",-25.783
"11",11,"-41.346",-32.408
"12",12,"-57.742",-42.787
"13",13,"-53.987",-46.37
"14",14,"-70.104",-55.811
"15",15,"-67.169",-58.813
"16",16,"-76.887",-64.34
"17",17,"-51.488",-32.249
"18",18,"-64.088",-42.338
"19",19,"-63.044",-38.543
"20",201,"-78.778",-46.913
