"","X","tss","roc"
"1",1,"0.737325925925926",0.937418518518519
"2",47,"LQHP",4
"3",3,"-10.061",48.62
"4",4,"-12.423",47.23
"5",5,"-4.787",25.794
"6",6,"-3.726",45.771
"7",7,"-8.457",32.495
"8",8,"-8.065",61.808
"9",9,"-4.421",20.457
"10",10,"-8.539",24.752
"11",11,"-8.615",19.744
"12",12,"-11.943",35.135
"13",13,"-6.48",22.043
"14",14,"-13.175",28.813
"15",15,"-6.43",37.308
"16",16,"-17.299",42.967
"17",17,"-6.417",22.662
"18",18,"-11.842",22.662
"19",19,"-11.735",25.819
"20",20,"-16.958",50.818
