"","X","tss","roc"
"1",1,"0.869766666666667",0.981626666666667
"2",20,"LQ",2
"3",3,"-31.112",-11.934
"4",4,"-27.112",17.06
"5",5,"-19.568",-4.39
"6",6,"-24.382",-5.059
"7",7,"-21.997",-7.043
"8",8,"-24.27",3.343
"9",9,"-15.032",-2.062
"10",10,"-21.295",-3.889
"11",11,"-24.125",-3.622
"12",12,"-23.133",15.222
"13",13,"-26.387",-10.542
"14",14,"-25.774",0.624
"15",15,"-27.825",-8.213
"16",16,"-28.404",12.48
"17",17,"-25.061",-3.755
"18",18,"-26.421",-0.212
"19",19,"-27.591",-0.301
"20",201,"-28.906",23.635
