"","X","tss","roc"
"1",1,"0.81403056768559",0.962429475982533
"2",42,"LQHPT",3.5
"3",3,"-48.191",-39.483
"4",4,"-66.785",-58.448
"5",5,"-35.015",-28.365
"6",6,"-47.667",-41.582
"7",7,"-49.703",-41.878
"8",8,"-64.967",-57.168
"9",9,"-29.727",-23.747
"10",10,"-44.123",-38.158
"11",11,"-47.371",-41.305
"12",12,"-63.313",-57.494
"13",13,"-36.822",-28.436
"14",14,"-50.829",-43.101
"15",15,"-47.558",-38.693
"16",16,"-61.629",-53.516
"17",17,"-41.425",-34.431
"18",18,"-51.562",-43.827
"19",19,"-53.418",-45.556
"20",20,"-68.046",-60.835
