"","X","tss","roc"
"1",1,"0.740432558139535",0.927272674418605
"2",34,"LQH",3
"3",3,"-10.994",1.98
"4",4,"-20.333",-7.642
"5",5,"-2.543",7.857
"6",6,"-5.841",4.184
"7",7,"-5.694",3.754
"8",8,"-5.557",9.096
"9",9,"-2.706",4.906
"10",10,"-4.972",3.543
"11",11,"-5.197",4.248
"12",12,"-7.632",4.512
"13",13,"-9.48",-0.692
"14",14,"-13.929",-4.327
"15",15,"-9.741",0.185
"16",16,"-17.623",-1.064
"17",17,"-10.348",-0.406
"18",18,"-12.95",-2.507
"19",19,"-15.869",-7.236
"20",20,"-21.2",-7.53
