"","X","tss","roc"
"1",1,"0.802245454545455",0.949565151515152
"2",40,"LQH",3.5
"3",3,"-19.313",32.369
"4",4,"-28.393",32.063
"5",5,"-10.005",8.578
"6",6,"-10.672",23.861
"7",7,"-16.631",14.279
"8",8,"-19.744",25.594
"9",9,"-10.601",6.618
"10",10,"-14.499",10.656
"11",11,"-15.291",6.971
"12",12,"-26.088",5.716
"13",13,"-10.515",38.579
"14",14,"-16.482",44.335
"15",15,"-12.217",40.775
"16",16,"-24.041",57.924
"17",17,"-17.588",0.431
"18",18,"-23.649",13.236
"19",19,"-24.465",17.91
"20",20,"-31.185",49.267
