"","X","tss","roc"
"1",1,"0.839802702702703",0.959184797297297
"2",40,"LQH",3.5
"3",3,"-24.274",-10.378
"4",4,"-33.352",-23.098
"5",5,"-15.149",-12.54
"6",6,"-18.459",-11.848
"7",7,"-21.59",-17.065
"8",8,"-35.695",-31.588
"9",9,"-15.822",-12
"10",10,"-23.307",-18.858
"11",11,"-28.723",-25.299
"12",12,"-41.937",-37.697
"13",13,"-17.397",-12.711
"14",14,"-32.745",-21.523
"15",15,"-24.35",-8.461
"16",16,"-42.819",-34.272
"17",17,"-25.27",-21.618
"18",18,"-33.589",-28.884
"19",19,"-36.122",-32.186
"20",20,"-46.177",-41.738
