"","X","tss","roc"
"1",1,"0.4638",0.75834
"2",43,"L",4
"3",3,"-31.344",-31.344
"4",4,"-42.138",-42.137
"5",5,"-25.865",-25.845
"6",6,"-30.92",-30.91
"7",7,"-31.07",-31.068
"8",8,"-42.906",-42.906
"9",9,"-16.655",-16.654
"10",10,"-24.869",-24.865
"11",11,"-24.783",-24.783
"12",12,"-37.908",-37.908
"13",13,"-23.555",-23.382
"14",14,"-35.007",-35.004
"15",15,"-30.114",-30.078
"16",16,"-44.473",-44.473
"17",17,"-26.968",-26.968
"18",18,"-33.595",-33.595
"19",19,"-35.47",-35.47
"20",20,"-45.711",-45.711
