"","X","tss","roc"
"1",1,"0.648472727272727",0.883866363636364
"2",42,"LQHPT",3.5
"3",3,"-2.425",45.457
"4",4,"-3.043",81.095
"5",5,"-1.631",14.405
"6",6,"-0.695",30.106
"7",7,"-0.619",35.054
"8",8,"-1.425",58.706
"9",9,"-1.224",14.912
"10",10,"-0.977",31.581
"11",11,"-1.349",29.887
"12",12,"-1.318",58.317
"13",13,"-1.201",20.322
"14",14,"-0.883",62.624
"15",15,"-1.085",34.633
"16",16,"-0.964",83.246
"17",17,"-2.192",27.587
"18",18,"-2.676",47.636
"19",19,"-2.057",51.419
"20",20,"-2.393",95.693
