"","X","tss","roc"
"1",1,"0.685866666666667",0.921559722222222
"2",42,"LQHPT",3.5
"3",3,"-17.945",29.866
"4",4,"-24.794",38.136
"5",5,"-13.478",12.602
"6",6,"-14.941",26.275
"7",7,"-17.216",32.075
"8",8,"-20.02",43.037
"9",9,"-7.776",17.65
"10",10,"-11.128",29.447
"11",11,"-12.124",30.615
"12",12,"-15.778",45.106
"13",13,"-15.608",21.77
"14",14,"-19.706",35.953
"15",15,"-17.918",29.878
"16",16,"-22.188",51.839
"17",17,"-12.905",29.739
"18",18,"-17.608",40.177
"19",19,"-17.59",41.066
"20",20,"-23.275",55.029
