"","X","tss","roc"
"1",1,"0.84925",0.9649875
"2",14,"LQ",1.5
"3",3,"-12.103",111.624
"4",4,"-7.063",192.615
"5",5,"-2.393",67.442
"6",6,"-12.338",77.484
"7",7,"-15.395",83.149
"8",8,"-8.147",204.62
"9",9,"-1.026",56.823
"10",10,"-3.282",91.912
"11",11,"-1.973",105.588
"12",12,"-1.153",206.838
"13",13,"-15.678",29.237
"14",141,"-7.844",132.119
"15",15,"-7.561",89.509
"16",16,"-12.543",180.932
"17",17,"-4.161",113.119
"18",18,"-5.373",164.746
"19",19,"-4.152",179.877
"20",20,"-8.176",241.291
