"","X","tss","roc"
"1",1,"0.866933333333333",0.962047916666667
"2",21,"H",2
"3",3,"-11.504",29.322
"4",4,"-15.669",26.317
"5",5,"-9.08",2.66
"6",6,"-10.791",7.654
"7",7,"-14.198",8.119
"8",8,"-24.538",12.506
"9",9,"-5.197",11.92
"10",10,"-9.084",15.556
"11",11,"-12.539",14.959
"12",12,"-18.104",21.89
"13",13,"-12.945",8.637
"14",14,"-20.029",13.804
"15",15,"-15.687",12.198
"16",16,"-27.57",14.389
"17",17,"-8.502",22.749
"18",18,"-13.035",28.655
"19",19,"-15.676",23.863
"20",20,"-28.11",28.035
