"","X","tss","roc"
"1",1,"0.621877777777778",0.851077777777778
"2",2,"L",0.5
"3",3,"-15.805",70.521
"4",4,"-13.919",125.803
"5",5,"-8.58",38.796
"6",6,"-10.848",70.969
"7",7,"-10.791",74.737
"8",8,"-11.458",126.391
"9",9,"-9.287",35.454
"10",10,"-8.848",69.24
"11",11,"-8.559",76.921
"12",12,"-8.431",133.466
"13",13,"-26.908",10.59
"14",14,"-14.331",88.862
"15",15,"-17.288",66.639
"16",16,"-11.923",127.935
"17",17,"-6.856",81.957
"18",18,"-9.177",114.051
"19",19,"-6.835",125.645
"20",20,"-7.778",157.124
