"","X","tss","roc"
"1",1,"0.9374",0.993496875
"2",42,"LQHPT",3.5
"3",3,"-48.77",-7.636
"4",4,"-60.306",-8.292
"5",5,"-26.499",-0.128
"6",6,"-43.102",-20.047
"7",7,"-47.512",-34.427
"8",8,"-62.73",-41.134
"9",9,"-14.471",28.686
"10",10,"-25.588",35.848
"11",11,"-24.075",43.485
"12",12,"-35.046",48.551
"13",13,"-58.502",-30.527
"14",14,"-65.591",-17.86
"15",15,"-64.279",-39.603
"16",16,"-71.66",-18.079
"17",17,"-19.592",34.646
"18",18,"-46.856",18.444
"19",19,"-41.206",20.284
"20",20,"-67.669",-10.917
