"","X","tss","roc"
"1",1,"0.9999",0.99997619047619
"2",43,"L",4
"3",3,"-97.778",-71.111
"4",4,"-62.222",17.778
"5",5,"-40",1411.111
"6",6,"-53.333",1084.444
"7",7,"-37.778",1846.667
"8",8,"-62.222",1473.333
"9",9,"-26.667",791.111
"10",10,"-33.333",837.778
"11",11,"-48.889",1091.111
"12",12,"-51.111",1000
"13",13,"-57.778",26.667
"14",14,"-100",-82.222
"15",15,"-55.556",26.667
"16",16,"-75.556",88.889
"17",17,"-95.556",533.333
"18",18,"-62.222",580
"19",19,"-53.333",726.667
"20",20,"-66.667",66.667
