"","X","tss","roc"
"1",1,"0.710154237288136",0.899584745762712
"2",2,"LQ",0.5
"3",3,"-19.199",35.378
"4",4,"-24.218",61.411
"5",5,"-12.778",10.575
"6",6,"-15.433",30.682
"7",7,"-19.724",18.429
"8",8,"-34.048",56.702
"9",9,"-6.959",15.935
"10",10,"-8.976",29.345
"11",11,"-10.629",21.461
"12",12,"-15.004",46.401
"13",13,"-24.033",-12.002
"14",14,"-35.098",24.361
"15",15,"-28.288",0.09
"16",16,"-41.657",42.653
"17",17,"-10.152",25.752
"18",18,"-15.624",42.534
"19",19,"-16.251",42.433
"20",20,"-32.579",85.707
