"","X","tss","roc"
"1",1,"0.692371428571429",0.914339285714286
"2",29,"LQHP",2.5
"3",3,"-28.971",6.029
"4",4,"-43.006",-5.216
"5",5,"-12.476",9.519
"6",6,"-17.368",15.241
"7",7,"-25.903",4.091
"8",8,"-29.039",5.654
"9",9,"-11.358",5.879
"10",10,"-18.134",9.28
"11",11,"-21.571",3.892
"12",12,"-27.442",1.133
"13",13,"-18.425",14.543
"14",14,"-38.676",-3.63
"15",15,"-29.278",5.883
"16",16,"-42.994",2.967
"17",17,"-17.228",7.666
"18",18,"-28.576",3.008
"19",19,"-31.201",-2.975
"20",20,"-45.953",-9.009
