"","X","tss","roc"
"1",1,"0.772466666666667",0.9454625
"2",20,"LQ",2
"3",3,"-14.674",63.549
"4",4,"-18.052",79.656
"5",5,"-6.406",32.823
"6",6,"-7.004",63.469
"7",7,"-11.095",60.056
"8",8,"-17.056",90.133
"9",9,"-5.845",39.987
"10",10,"-7.381",61.154
"11",11,"-9.406",60.174
"12",12,"-13.639",94.005
"13",13,"-13.777",33.923
"14",14,"-20.557",52.434
"15",15,"-18.576",47.474
"16",16,"-21.889",74.42
"17",17,"-8.319",58.73
"18",18,"-13.551",78.279
"19",19,"-14.521",77.013
"20",201,"-17.784",94.252
