"","X","tss","roc"
"1",1,"0.760285714285714",0.931541428571429
"2",20,"LQ",2
"3",3,"-5.931",257.811
"4",4,"-8.569",306.241
"5",5,"-4.463",158.693
"6",6,"-3.458",220.712
"7",7,"-5.166",225.059
"8",8,"-4.277",319.321
"9",9,"-6.723",125.568
"10",10,"-5.696",200.73
"11",11,"-6.881",214.217
"12",12,"-9.464",285.99
"13",13,"-11.778",114.589
"14",14,"-7.942",258.204
"15",15,"-9.216",218.322
"16",16,"-11.2",309.071
"17",17,"-7.467",193.925
"18",18,"-6.957",244.91
"19",19,"-7.845",251.371
"20",201,"-10.346",333.489
