"","X","tss","roc"
"1",1,"0.771615384615385",0.946269230769231
"2",46,"LQH",4
"3",3,"-22.815",20.965
"4",4,"-37.303",23.505
"5",5,"-9.961",23.055
"6",6,"-16.749",33.237
"7",7,"-19.764",30.915
"8",8,"-28.237",48.352
"9",9,"-9.425",11.868
"10",10,"-15.491",18.607
"11",11,"-15.93",17.393
"12",12,"-25.863",20.159
"13",13,"-16.346",2.659
"14",14,"-30.956",7.504
"15",15,"-22.508",3.592
"16",16,"-43.844",-0.952
"17",17,"-16.178",20.686
"18",18,"-24.861",22.713
"19",19,"-25.462",24.874
"20",20,"-42.195",30.846
