"","X","tss","roc"
"1",1,"0.9645",0.995241176470588
"2",34,"LQH",3
"3",3,"-75.956",-57.149
"4",4,"-86.175",-58.735
"5",5,"-40.421",5.205
"6",6,"-49.105",22.196
"7",7,"-73.162",-13.096
"8",8,"-81.858",-13.493
"9",9,"-30.145",-20.265
"10",10,"-45.728",-28.693
"11",11,"-55.992",-41.342
"12",12,"-76.321",-54.822
"13",13,"-69.619",-62.143
"14",14,"-80.714",-61.785
"15",15,"-80.151",-69.696
"16",16,"-87.083",-65.155
"17",17,"-63.691",-34.16
"18",18,"-79.633",-53.14
"19",19,"-80.432",-53.408
"20",20,"-87.978",-52.756
