"","X","tss","roc"
"1",1,"0.9666",0.995454545454545
"2",2,"LQ",0.5
"3",3,"-63.844",35.028
"4",4,"-80.778",107.134
"5",5,"-45.176",112.088
"6",6,"-60.516",105.908
"7",7,"-55.301",120.327
"8",8,"-73.493",157.871
"9",9,"-38.682",46.271
"10",10,"-46.086",102.407
"11",11,"-47.16",116.771
"12",12,"-62.739",91.891
"13",13,"-51.127",27.483
"14",14,"-64.408",94.612
"15",15,"-65.319",54.488
"16",16,"-91.934",61.34
"17",17,"-56.396",32.817
"18",18,"-67.259",87.641
"19",19,"-68.203",89.918
"20",20,"-88.66",100.293
