"","X","tss","roc"
"1",1,"0.9802",0.996004464285714
"2",44,"LQ",4
"3",3,"-35.905",-32.877
"4",4,"-57.606",-55.227
"5",5,"-38.789",-29.344
"6",6,"-50.324",-45.926
"7",7,"-52.199",-50.036
"8",8,"-62.149",-57.246
"9",9,"-26.099",-22.35
"10",10,"-40.591",-36.337
"11",11,"-42.177",-38.284
"12",12,"-61.572",-59.986
"13",13,"-39.149",-36.265
"14",14,"-63.23",-63.086
"15",15,"-57.967",-57.534
"16",16,"-68.349",-67.195
"17",17,"-43.691",-41.817
"18",18,"-45.566",-43.619
"19",19,"-51.694",-50.613
"20",20,"-65.105",-64.888
