"","X","tss","roc"
"1",1,"0.9728",0.993941935483871
"2",44,"LQ",4
"3",3,"-30.644",-30.289
"4",4,"-47.286",-45.104
"5",5,"-37.088",-36.834
"6",6,"-43.683",-43.582
"7",7,"-53.171",-53.07
"8",8,"-61.39",-61.289
"9",9,"-18.468",-17.859
"10",10,"-31.456",-30.797
"11",11,"-31.761",-30.898
"12",12,"-54.997",-54.693
"13",13,"-27.245",-25.571
"14",14,"-57.839",-54.896
"15",15,"-43.48",-43.024
"16",16,"-56.52",-56.266
"17",17,"-29.122",-28.869
"18",18,"-35.363",-34.602
"19",19,"-41.35",-41.248
"20",20,"-53.831",-53.222
