"","X","tss","roc"
"1",1,"0.958485714285714",0.998883928571429
"2",44,"LQ",4
"3",3,"-38.147",-12.284
"4",4,"-61.207",-48.06
"5",5,"-13.578",144.181
"6",6,"-47.414",-28.664
"7",7,"-83.405",-79.095
"8",8,"-54.957",-32.759
"9",9,"-42.241",-35.56
"10",10,"-75.647",-70.043
"11",11,"-85.345",-79.526
"12",12,"-92.026",-84.483
"13",13,"-35.776",4.095
"14",14,"-68.966",-39.44
"15",15,"-49.784",-19.181
"16",16,"-82.974",-70.259
"17",17,"-55.388",-45.905
"18",18,"-68.319",-63.793
"19",19,"-64.44",-59.483
"20",20,"-78.233",-71.552
