"","X","tss","roc"
"1",1,"0.9804",0.999417142857143
"2",40,"LQH",3.5
"3",3,"-27.252",-15.09
"4",4,"-50.526",-45.796
"5",5,"-15.616",25.15
"6",6,"-31.156",-21.697
"7",7,"-34.535",-28.153
"8",8,"-39.264",-13.138
"9",9,"-15.315",-10.811
"10",10,"-24.55",-15.39
"11",11,"-27.402",-17.117
"12",12,"-44.97",-35.21
"13",13,"-21.321",-14.565
"14",14,"-37.538",-32.282
"15",15,"-36.562",-32.583
"16",16,"-52.102",-47.523
"17",17,"-38.664",-35.06
"18",18,"-45.345",-42.793
"19",19,"-42.643",-40.24
"20",20,"-55.856",-52.027
