"","X","tss","roc"
"1",1,"0.683428571428571",0.926515178571429
"2",28,"LQH",2.5
"3",3,"-12.294",53.593
"4",4,"-16.354",67.125
"5",5,"-2.069",53.666
"6",6,"-6.991",51.747
"7",7,"-3.785",55.406
"8",8,"-7.679",91.604
"9",9,"-4.947",34.231
"10",10,"-8.72",47.942
"11",11,"-5.032",48.954
"12",12,"-11.42",78.679
"13",13,"-7.833",34.081
"14",14,"-15.039",57.912
"15",15,"-10.97",58.863
"16",16,"-19.358",86.662
"17",17,"-6.21",50.059
"18",18,"-8.821",67.846
"19",19,"-8.801",69.056
"20",20,"-14.342",95.802
