"","X","tss","roc"
"1",1,"0.689288888888889",0.914427777777778
"2",26,"LQ",2.5
"3",3,"-18.382",21.131
"4",4,"-27.315",27.901
"5",5,"-9.842",14.368
"6",6,"-13.671",14.691
"7",7,"-14.448",17.657
"8",8,"-19.817",31.2
"9",9,"-9.253",7.577
"10",10,"-13.494",9.081
"11",11,"-13.143",11.72
"12",12,"-19.185",15.827
"13",13,"-15.409",2.5
"14",14,"-21.331",17.292
"15",15,"-18.858",8.809
"16",16,"-28.911",22.19
"17",17,"-13.633",14.333
"18",18,"-18.524",20.193
"19",19,"-18.713",20.871
"20",20,"-27.831",36.125
