"","X","tss","roc"
"1",1,"0.630514285714286",0.886314285714286
"2",34,"LQH",3
"3",3,"-2.015",90.676
"4",4,"-1.421",186.214
"5",5,"-1.507",27.978
"6",6,"-2.015",60.089
"7",7,"-1.399",71.213
"8",8,"-1.372",175.607
"9",9,"-1.858",23.646
"10",10,"-1.565",50.369
"11",11,"-1.772",55.798
"12",12,"-1.43",133.87
"13",13,"-4.53",14.843
"14",14,"-1.687",116.166
"15",15,"-2.263",64.164
"16",16,"-2.146",169.359
"17",17,"-1.084",58.258
"18",18,"-1.187",116.71
"19",19,"-1.089",130.596
"20",20,"-1.363",224.879
