"","X","tss","roc"
"1",1,"0.820771428571429",0.949382142857143
"2",8,"LQ",1
"3",3,"-8.531",144.161
"4",4,"-13.781",194.314
"5",5,"-5.628",90.569
"6",6,"-6.824",124.595
"7",7,"-9.158",118.869
"8",81,"-9.768",212.637
"9",9,"-7.103",55.41
"10",10,"-9.774",97.532
"11",11,"-7.585",105.053
"12",12,"-9.426",192.148
"13",13,"-11.54",42.767
"14",14,"-9.815",138.365
"15",15,"-13.444",108.723
"16",16,"-18.027",189.117
"17",17,"-5.244",108.886
"18",18,"-7.283",151.629
"19",19,"-7.817",159.899
"20",20,"-10.779",225.054
