"","X","tss","roc"
"1",1,"0.881433333333333",0.970810416666667
"2",25,"L",2.5
"3",3,"-9.486",-7.23
"4",4,"-6.05",1.709
"5",5,"-8.272",-6.341
"6",6,"-7.691",-6.084
"7",7,"-8.631",-7.042
"8",8,"-6.922",-3.093
"9",9,"-2.085",0.103
"10",10,"-2.205",3.965
"11",11,"-2.051",5.008
"12",12,"-2",11.007
"13",13,"-4.939",0.513
"14",14,"-7.349",-1.812
"15",15,"-2.683",4.085
"16",16,"-2.598",8.118
"17",17,"-6.307",-3.333
"18",18,"-2.564",7.435
"19",19,"-4.273",4.529
"20",20,"-3.111",9.52
