"","X","tss","roc"
"1",1,"0.949180952380952",0.995142857142857
"2",8,"LQ",1
"3",3,"-91.981",36.91
"4",4,"-92.689",226.887
"5",5,"-85.142",-37.264
"6",6,"-90.33",183.608
"7",7,"-92.571",97.288
"8",81,"-92.689",255.307
"9",9,"-54.009",-24.882
"10",10,"-83.137",11.792
"11",11,"-76.887",36.675
"12",12,"-89.741",135.024
"13",13,"-90.33",-19.34
"14",14,"-90.802",109.198
"15",15,"-91.627",14.033
"16",16,"-93.396",88.325
"17",17,"-88.797",28.184
"18",18,"-92.217",50
"19",19,"-91.863",49.41
"20",20,"-93.042",141.981
