"","X","tss","roc"
"1",1,"0.992",0.997586
"2",28,"LQH",2.5
"3",3,"-52.607",-52.607
"4",4,"-77.251",-76.777
"5",5,"-22.749",-18.483
"6",6,"-51.185",-49.763
"7",7,"-51.659",-51.185
"8",8,"-82.938",-82.938
"9",9,"-60.19",-60.19
"10",10,"-76.777",-76.777
"11",11,"-91.469",-91.469
"12",12,"-97.63",-97.63
"13",13,"-30.806",-22.749
"14",14,"-64.929",-62.559
"15",15,"-87.678",-87.204
"16",16,"-75.829",-74.882
"17",17,"-55.924",-55.45
"18",18,"-92.891",-92.891
"19",19,"-90.047",-90.047
"20",20,"-91.469",-91.469
