"","X","tss","roc"
"1",1,"0.658385714285714",0.883111428571429
"2",41,"LQHP",3.5
"3",3,"-7.108",39.23
"4",4,"-8.114",65.715
"5",5,"-4.05",11.477
"6",6,"-3.373",28.343
"7",7,"-3.049",29.077
"8",8,"-3.53",51.975
"9",9,"-3.407",12.168
"10",10,"-4.517",26.905
"11",11,"-4.378",23.403
"12",12,"-7.285",44.314
"13",13,"-4.455",16.666
"14",14,"-4.221",51.303
"15",15,"-6.565",28.691
"16",16,"-6.079",63.281
"17",17,"-3.945",24.151
"18",18,"-6.542",36.729
"19",19,"-7.499",38.182
"20",20,"-7.523",71.628
