"","X","tss","roc"
"1",1,"0.834",0.9654125
"2",26,"LQ",2.5
"3",3,"-18.753",6.457
"4",4,"-24.551",17.893
"5",5,"-10.477",12.108
"6",6,"-12.962",18.289
"7",7,"-15.879",18.808
"8",8,"-18.702",34.588
"9",9,"-11.904",-2.529
"10",10,"-15.75",-2.74
"11",11,"-15.204",-0.038
"12",12,"-22.097",-0.642
"13",13,"-18.077",-9.006
"14",14,"-17.726",14.177
"15",15,"-20.21",-1.635
"16",16,"-26.626",10.156
"17",17,"-15.238",1.799
"18",18,"-18.275",13.392
"19",19,"-20.002",14.811
"20",20,"-24.237",29.909
