"","X","tss","roc"
"1",1,"0.9613",0.992967391304348
"2",20,"LQ",2
"3",3,"-72.102",-43.097
"4",4,"-78.558",-33.4
"5",5,"-39.121",13.065
"6",6,"-43.565",26.281
"7",7,"-65.876",-4.985
"8",8,"-68.193",7.374
"9",9,"-33.692",-8.912
"10",10,"-49.413",-24.202
"11",11,"-53.876",-26.749
"12",12,"-67.074",-32.823
"13",13,"-69.305",-53.316
"14",14,"-72.211",-44.088
"15",15,"-73.251",-54.064
"16",16,"-78.892",-50.678
"17",17,"-61.11",-27.151
"18",18,"-72.041",-31.102
"19",19,"-72.26",-31.704
"20",201,"-78.667",-20.901
