"","X","tss","roc"
"1",1,"0.9459",0.988610344827586
"2",41,"LQHP",3.5
"3",3,"-64.318",-39.692
"4",4,"-79.677",-53.555
"5",5,"-40.098",-6.76
"6",6,"-60.621",10.35
"7",7,"-63.563",-1.097
"8",8,"-73.757",-3.605
"9",9,"-25.666",-10.301
"10",10,"-34.449",-3.035
"11",11,"-42.093",-22.14
"12",12,"-59.36",-33.025
"13",13,"-55.136",-49.252
"14",14,"-74.284",-60.023
"15",15,"-69.041",-62.309
"16",16,"-80.838",-61.911
"17",17,"-54.872",-25.93
"18",18,"-68.835",-44.914
"19",19,"-70.558",-40.419
"20",20,"-81.365",-51.218
