"","X","tss","roc"
"1",1,"0.786453846153846",0.957440384615385
"2",34,"LQH",3
"3",3,"-2.903",101.93
"4",4,"-4.437",171.92
"5",5,"-5.133",35.508
"6",6,"-6.471",53.722
"7",7,"-5.572",63.958
"8",8,"-6.91",94.763
"9",9,"-3.373",39.615
"10",10,"-3.168",70.355
"11",11,"-4.611",68.325
"12",12,"-5.511",116.233
"13",13,"-3.021",74.797
"14",14,"-2.96",118.78
"15",15,"-2.499",106.645
"16",16,"-3.473",181.047
"17",17,"-3.103",73.558
"18",18,"-2.829",106.45
"19",19,"-3.755",115.898
"20",20,"-5.572",185.032
